age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,y
58,9458,27214,13301,44396,2143,25130,37967,13020,5,13766,261,1,-1,36959,0
44,7597,12790,23202,44396,29,25130,37967,13020,5,13766,151,1,-1,36959,0
33,1487,27214,23202,44396,2,25130,7244,13020,5,13766,76,1,-1,36959,0
47,9732,27214,1857,44396,1506,25130,37967,13020,5,13766,92,1,-1,36959,0
33,288,12790,1857,44396,1,20081,37967,13020,5,13766,198,1,-1,36959,0
35,9458,27214,13301,44396,231,25130,37967,13020,5,13766,139,1,-1,36959,0
28,9458,12790,13301,44396,447,25130,7244,13020,5,13766,217,1,-1,36959,0
42,1487,5207,13301,815,2,25130,37967,13020,5,13766,380,1,-1,36959,0
58,2264,27214,6851,44396,121,25130,37967,13020,5,13766,50,1,-1,36959,0
43,7597,12790,23202,44396,593,25130,37967,13020,5,13766,55,1,-1,36959,0
41,5171,5207,23202,44396,270,25130,37967,13020,5,13766,222,1,-1,36959,0
29,5171,12790,23202,44396,390,25130,37967,13020,5,13766,137,1,-1,36959,0
53,7597,27214,23202,44396,6,25130,37967,13020,5,13766,517,1,-1,36959,0
58,7597,27214,1857,44396,71,25130,37967,13020,5,13766,71,1,-1,36959,0
57,4154,27214,23202,44396,162,25130,37967,13020,5,13766,174,1,-1,36959,0
51,2264,27214,6851,44396,229,25130,37967,13020,5,13766,353,1,-1,36959,0
45,5171,12790,1857,44396,13,25130,37967,13020,5,13766,98,1,-1,36959,0
57,9732,27214,6851,44396,52,25130,37967,13020,5,13766,38,1,-1,36959,0
60,2264,27214,6851,44396,60,25130,37967,13020,5,13766,219,1,-1,36959,0
33,4154,27214,23202,44396,0,25130,37967,13020,5,13766,54,1,-1,36959,0
28,9732,27214,23202,44396,723,25130,7244,13020,5,13766,262,1,-1,36959,0
56,9458,27214,13301,44396,779,25130,37967,13020,5,13766,164,1,-1,36959,0
32,9732,12790,6851,44396,23,25130,7244,13020,5,13766,160,1,-1,36959,0
25,4154,27214,23202,44396,50,25130,37967,13020,5,13766,342,1,-1,36959,0
40,2264,27214,6851,44396,0,25130,7244,13020,5,13766,181,1,-1,36959,0
44,5171,27214,23202,44396,-372,25130,37967,13020,5,13766,172,1,-1,36959,0
39,9458,12790,13301,44396,255,25130,37967,13020,5,13766,296,1,-1,36959,0
52,1487,27214,23202,44396,113,25130,7244,13020,5,13766,127,1,-1,36959,0
46,9458,12790,23202,44396,-246,25130,37967,13020,5,13766,255,2,-1,36959,0
36,7597,12790,23202,44396,265,25130,7244,13020,5,13766,348,1,-1,36959,0
57,7597,27214,23202,44396,839,20081,7244,13020,5,13766,225,1,-1,36959,0
49,9458,27214,13301,44396,378,25130,37967,13020,5,13766,230,1,-1,36959,0
60,5171,27214,23202,44396,39,25130,7244,13020,5,13766,208,1,-1,36959,0
59,9732,27214,23202,44396,0,25130,37967,13020,5,13766,226,1,-1,36959,0
51,9458,27214,13301,44396,10635,25130,37967,13020,5,13766,336,1,-1,36959,0
57,7597,5207,23202,44396,63,25130,37967,13020,5,13766,242,1,-1,36959,0
25,9732,27214,23202,44396,-7,25130,37967,13020,5,13766,365,1,-1,36959,0
53,7597,27214,23202,44396,-3,20081,37967,13020,5,13766,1666,1,-1,36959,0
36,5171,5207,23202,44396,506,25130,37967,13020,5,13766,577,1,-1,36959,0
37,5171,12790,23202,44396,0,25130,37967,13020,5,13766,137,1,-1,36959,0
44,4154,5207,23202,44396,2586,25130,37967,13020,5,13766,160,1,-1,36959,0
50,9458,27214,23202,44396,49,25130,37967,13020,5,13766,180,2,-1,36959,0
60,9732,27214,1857,44396,104,25130,37967,13020,5,13766,22,1,-1,36959,0
54,2264,27214,23202,44396,529,25130,37967,13020,5,13766,1492,1,-1,36959,0
58,2264,27214,1857,44396,96,25130,37967,13020,5,13766,616,1,-1,36959,0
36,5171,12790,6851,44396,-171,25130,37967,13020,5,13766,242,1,-1,36959,0
